method: org.apache.fop.fonts.MultiByteFont.<init>:715159776
l2(1322910410) -> l2(1257063479) 
counterFormat(1322910410) -> counterFormat(1257063479) 
cntString(1322910410) -> cntString(1257063479) 
sb(1322910410) -> sb(1257063479) 
$r0(1322910410) -> $r0(1257063479) 
$r1(1322910410) -> $r1(1257063479) 
$r2(1322910410) -> $r2(1257063479) 
$r3(1322910410) -> $r3(1257063479) 
$r6(1322910410) -> $r6(1257063479) 
$r7(1322910410) -> $r7(1257063479) 
$r8(1322910410) -> $r8(1257063479) 
$r9(1322910410) -> $r9(1257063479) 
$r10(1322910410) -> $r10(1257063479) 
$r11(1322910410) -> $r11(1257063479) 
0(1257063479) -> 0(1252441468) 
this(1257063479) -> this(1252441468) 
l1(1257063479) -> l1(1252441468) 
l2(1257063479) -> l2(1252441468) 
counterFormat(1257063479) -> counterFormat(1252441468) 
cntString(1257063479) -> cntString(1252441468) 
$r0(1257063479) -> $r0(1252441468) 
$r1(1257063479) -> $r1(1252441468) 
$r2(1257063479) -> $r2(1252441468) 
$r3(1257063479) -> $r3(1252441468) 
$r6(1257063479) -> $r6(1252441468) 
$r7(1257063479) -> $r7(1252441468) 
$r8(1257063479) -> $r8(1252441468) 
$r9(1257063479) -> sb(1252441468) 
$r9(1257063479) -> $r9(1252441468) 
$r10(1257063479) -> $r10(1252441468) 
$r11(1257063479) -> $r11(1252441468) 
0(1252441468) -> 0(2058492778) 
this(1252441468) -> this(2058492778) 
l1(1252441468) -> l1(2058492778) 
l2(1252441468) -> l2(2058492778) 
counterFormat(1252441468) -> counterFormat(2058492778) 
cntString(1252441468) -> cntString(2058492778) 
sb(1252441468) -> sb(2058492778) 
$r0(1252441468) -> $r0(2058492778) 
$r1(1252441468) -> $r1(2058492778) 
$r2(1252441468) -> $r2(2058492778) 
$r3(1252441468) -> $r3(2058492778) 
$r6(1252441468) -> $r6(2058492778) 
$r7(1252441468) -> $r7(2058492778) 
$r8(1252441468) -> $r8(2058492778) 
$r9(1252441468) -> $r9(2058492778) 
$r10(1252441468) -> $r10(2058492778) 
$r11(1252441468) -> $r11(2058492778) 
0(2058492778) -> 0(-2058492778) 
this(2058492778) -> this(-2058492778) 
l1(2058492778) -> l1(-2058492778) 
l2(2058492778) -> l2(-2058492778) 
counterFormat(2058492778) -> counterFormat(-2058492778) 
cntString(2058492778) -> cntString(-2058492778) 
sb(2058492778) -> sb(-2058492778) 
$r0(2058492778) -> $r0(-2058492778) 
$r1(2058492778) -> $r1(-2058492778) 
$r2(2058492778) -> $r2(-2058492778) 
$r3(2058492778) -> $r3(-2058492778) 
$r6(2058492778) -> $r6(-2058492778) 
$r7(2058492778) -> $r7(-2058492778) 
$r8(2058492778) -> $r8(-2058492778) 
$r9(2058492778) -> $r9(-2058492778) 
$r10(2058492778) -> $r10(-2058492778) 
$r11(2058492778) -> $r11(-2058492778) 
0(-2058492778) -> 0(1625299388) 
this(-2058492778) -> this(1625299388) 
l1(-2058492778) -> l1(1625299388) 
l2(-2058492778) -> l2(1625299388) 
counterFormat(-2058492778) -> counterFormat(1625299388) 
cntString(-2058492778) -> cntString(1625299388) 
sb(-2058492778) -> sb(1625299388) 
$r0(-2058492778) -> $r0(1625299388) 
$r1(-2058492778) -> $r1(1625299388) 
$r2(-2058492778) -> $r2(1625299388) 
$r3(-2058492778) -> $r3(1625299388) 
$r6(-2058492778) -> $r6(1625299388) 
$r7(-2058492778) -> $r7(1625299388) 
$r8(-2058492778) -> $r8(1625299388) 
$r9(-2058492778) -> $r9(1625299388) 
$r10(-2058492778) -> $r10(1625299388) 
$r11(-2058492778) -> $r11(1625299388) 
0(1625299388) -> 0(1728895933) 
this(1625299388) -> this(1728895933) 
l1(1625299388) -> l1(1728895933) 
l2(1625299388) -> l2(1728895933) 
counterFormat(1625299388) -> counterFormat(1728895933) 
cntString(1625299388) -> cntString(1728895933) 
sb(1625299388) -> sb(1728895933) 
$r0(1625299388) -> $r0(1728895933) 
$r1(1625299388) -> $r1(1728895933) 
$r2(1625299388) -> $r2(1728895933) 
$r3(1625299388) -> $r3(1728895933) 
$r6(1625299388) -> $r6(1728895933) 
$r7(1625299388) -> $r7(1728895933) 
$r8(1625299388) -> $r8(1728895933) 
$r9(1625299388) -> $r9(1728895933) 
$r10(1625299388) -> $r10(1728895933) 
$r11(1625299388) -> $r11(1728895933) 
0(1625299388) -> 0(1548982938) 
this(1625299388) -> this(1548982938) 
l1(1625299388) -> l1(1548982938) 
l2(1625299388) -> l2(1548982938) 
counterFormat(1625299388) -> counterFormat(1548982938) 
cntString(1625299388) -> cntString(1548982938) 
sb(1625299388) -> sb(1548982938) 
$r0(1625299388) -> $r0(1548982938) 
$r1(1625299388) -> $r1(1548982938) 
$r2(1625299388) -> $r2(1548982938) 
$r3(1625299388) -> $r3(1548982938) 
$r6(1625299388) -> $r6(1548982938) 
$r7(1625299388) -> $r7(1548982938) 
$r8(1625299388) -> $r8(1548982938) 
$r9(1625299388) -> $r9(1548982938) 
$r10(1625299388) -> $r10(1548982938) 
$r11(1625299388) -> $r11(1548982938) 
0(1548982938) -> 0(-1548982938) 
this(1548982938) -> this(-1548982938) 
l1(1548982938) -> l1(-1548982938) 
l2(1548982938) -> l2(-1548982938) 
counterFormat(1548982938) -> counterFormat(-1548982938) 
cntString(1548982938) -> cntString(-1548982938) 
sb(1548982938) -> sb(-1548982938) 
$r0(1548982938) -> $r0(-1548982938) 
$r1(1548982938) -> $r1(-1548982938) 
$r2(1548982938) -> $r2(-1548982938) 
$r3(1548982938) -> $r3(-1548982938) 
$r6(1548982938) -> $r6(-1548982938) 
$r7(1548982938) -> $r7(-1548982938) 
$r8(1548982938) -> $r8(-1548982938) 
$r9(1548982938) -> $r9(-1548982938) 
$r10(1548982938) -> $r10(-1548982938) 
$r11(1548982938) -> $r11(-1548982938) 
0(-1548982938) -> 0(1151101079) 
this(-1548982938) -> this(1151101079) 
l1(-1548982938) -> l1(1151101079) 
l2(-1548982938) -> l2(1151101079) 
counterFormat(-1548982938) -> counterFormat(1151101079) 
cntString(-1548982938) -> cntString(1151101079) 
sb(-1548982938) -> sb(1151101079) 
$r0(-1548982938) -> $r0(1151101079) 
$r1(-1548982938) -> $r1(1151101079) 
$r2(-1548982938) -> $r2(1151101079) 
$r3(-1548982938) -> $r3(1151101079) 
$r6(-1548982938) -> $r6(1151101079) 
$r7(-1548982938) -> $r7(1151101079) 
$r8(-1548982938) -> $r8(1151101079) 
$r9(-1548982938) -> $r9(1151101079) 
$r10(-1548982938) -> $r10(1151101079) 
$r11(-1548982938) -> $r11(1151101079) 
0(1151101079) -> 0(2023142577) 
this(1151101079) -> this(2023142577) 
l1(1151101079) -> l1(2023142577) 
l2(1151101079) -> l2(2023142577) 
counterFormat(1151101079) -> counterFormat(2023142577) 
cntString(1151101079) -> cntString(2023142577) 
sb(1151101079) -> sb(2023142577) 
$r0(1151101079) -> $r0(2023142577) 
$r1(1151101079) -> $r1(2023142577) 
$r2(1151101079) -> $r2(2023142577) 
$r3(1151101079) -> $r3(2023142577) 
$r6(1151101079) -> $r6(2023142577) 
$r7(1151101079) -> $r7(2023142577) 
$r8(1151101079) -> $r8(2023142577) 
$r9(1151101079) -> $r9(2023142577) 
$r10(1151101079) -> $r10(2023142577) 
$r11(1151101079) -> $r11(2023142577) 
0(2023142577) -> 0(126853851) 
this(2023142577) -> this(126853851) 
l1(2023142577) -> l1(126853851) 
l2(2023142577) -> l2(126853851) 
counterFormat(2023142577) -> counterFormat(126853851) 
cntString(2023142577) -> cntString(126853851) 
sb(2023142577) -> sb(126853851) 
$r0(2023142577) -> $r0(126853851) 
$r1(2023142577) -> $r1(126853851) 
$r2(2023142577) -> $r2(126853851) 
$r3(2023142577) -> $r3(126853851) 
$r6(2023142577) -> $r6(126853851) 
$r7(2023142577) -> $r7(126853851) 
$r8(2023142577) -> $r8(126853851) 
$r9(2023142577) -> $r9(126853851) 
$r10(2023142577) -> $r10(126853851) 
$r11(2023142577) -> $r11(126853851) 
0(126853851) -> 0(1590372315) 
this(126853851) -> this(1590372315) 
l1(126853851) -> l1(1590372315) 
l2(126853851) -> l2(1590372315) 
counterFormat(126853851) -> counterFormat(1590372315) 
cntString(126853851) -> cntString(1590372315) 
sb(126853851) -> sb(1590372315) 
$r0(126853851) -> $r0(1590372315) 
$r1(126853851) -> $r1(1590372315) 
$r2(126853851) -> $r2(1590372315) 
$r3(126853851) -> $r3(1590372315) 
$r6(126853851) -> $r6(1590372315) 
$r7(126853851) -> $r7(1590372315) 
$r8(126853851) -> $r8(1590372315) 
$r9(126853851) -> $r9(1590372315) 
$r10(126853851) -> $r10(1590372315) 
$r11(126853851) -> $r11(1590372315) 
0(1590372315) -> 0(1806027643) 
this(1590372315) -> this(1806027643) 
l1(1590372315) -> l1(1806027643) 
l2(1590372315) -> l2(1806027643) 
counterFormat(1590372315) -> counterFormat(1806027643) 
cntString(1590372315) -> cntString(1806027643) 
sb(1590372315) -> sb(1806027643) 
$r0(1590372315) -> $r0(1806027643) 
$r1(1590372315) -> $r1(1806027643) 
$r2(1590372315) -> $r2(1806027643) 
$r3(1590372315) -> $r3(1806027643) 
$r6(1590372315) -> $r6(1806027643) 
$r7(1590372315) -> $r7(1806027643) 
$r8(1590372315) -> $r8(1806027643) 
$r9(1590372315) -> $r9(1806027643) 
$r10(1590372315) -> $r10(1806027643) 
$r11(1590372315) -> $r11(1806027643) 
0(1806027643) -> 0(1625299388) 
this(1806027643) -> this(1625299388) 
l1(1806027643) -> l1(1625299388) 
l2(1806027643) -> l2(1625299388) 
counterFormat(1806027643) -> counterFormat(1625299388) 
cntString(1806027643) -> cntString(1625299388) 
sb(1806027643) -> sb(1625299388) 
$r0(1806027643) -> $r0(1625299388) 
$r1(1806027643) -> $r1(1625299388) 
$r2(1806027643) -> $r2(1625299388) 
$r3(1806027643) -> $r3(1625299388) 
$r6(1806027643) -> $r6(1625299388) 
$r7(1806027643) -> $r7(1625299388) 
$r8(1806027643) -> $r8(1625299388) 
$r9(1806027643) -> $r9(1625299388) 
$r10(1806027643) -> $r10(1625299388) 
$r11(1806027643) -> $r11(1625299388) 
0(1728895933) -> 0(725179373) 
this(1728895933) -> this(725179373) 
l1(1728895933) -> l1(725179373) 
l2(1728895933) -> l2(725179373) 
counterFormat(1728895933) -> counterFormat(725179373) 
cntString(1728895933) -> cntString(725179373) 
sb(1728895933) -> sb(725179373) 
$r0(1728895933) -> $r0(725179373) 
$r1(1728895933) -> $r1(725179373) 
$r2(1728895933) -> $r2(725179373) 
$r3(1728895933) -> $r3(725179373) 
$r6(1728895933) -> $r6(725179373) 
$r7(1728895933) -> $r7(725179373) 
$r8(1728895933) -> $r8(725179373) 
$r9(1728895933) -> $r9(725179373) 
$r10(1728895933) -> $r10(725179373) 
$r11(1728895933) -> $r11(725179373) 
0(725179373) -> 0(-725179373) 
this(725179373) -> this(-725179373) 
l1(725179373) -> l1(-725179373) 
l2(725179373) -> l2(-725179373) 
counterFormat(725179373) -> counterFormat(-725179373) 
cntString(725179373) -> cntString(-725179373) 
sb(725179373) -> sb(-725179373) 
$r0(725179373) -> $r0(-725179373) 
$r1(725179373) -> $r1(-725179373) 
$r2(725179373) -> $r2(-725179373) 
$r3(725179373) -> $r3(-725179373) 
$r6(725179373) -> $r6(-725179373) 
$r7(725179373) -> $r7(-725179373) 
$r8(725179373) -> $r8(-725179373) 
$r9(725179373) -> $r9(-725179373) 
$r11(725179373) -> $r11(-725179373) 
0(-725179373) -> 0(1120025286) 
this(-725179373) -> this(1120025286) 
l1(-725179373) -> l1(1120025286) 
l2(-725179373) -> l2(1120025286) 
counterFormat(-725179373) -> counterFormat(1120025286) 
cntString(-725179373) -> cntString(1120025286) 
sb(-725179373) -> sb(1120025286) 
$r0(-725179373) -> $r0(1120025286) 
$r1(-725179373) -> $r1(1120025286) 
$r2(-725179373) -> $r2(1120025286) 
$r3(-725179373) -> $r3(1120025286) 
$r6(-725179373) -> $r6(1120025286) 
$r7(-725179373) -> $r7(1120025286) 
$r8(-725179373) -> $r8(1120025286) 
$r9(-725179373) -> $r9(1120025286) 
$r10(-725179373) -> $r10(1120025286) 
$r11(-725179373) -> $r11(1120025286) 
0(1120025286) -> 0(1685467958) 
this(1120025286) -> this(1685467958) 
l1(1120025286) -> l1(1685467958) 
l2(1120025286) -> l2(1685467958) 
counterFormat(1120025286) -> counterFormat(1685467958) 
cntString(1120025286) -> cntString(1685467958) 
sb(1120025286) -> sb(1685467958) 
$r0(1120025286) -> $r0(1685467958) 
$r1(1120025286) -> $r1(1685467958) 
$r2(1120025286) -> $r2(1685467958) 
$r3(1120025286) -> $r3(1685467958) 
$r6(1120025286) -> $r6(1685467958) 
$r7(1120025286) -> $r7(1685467958) 
$r8(1120025286) -> $r8(1685467958) 
$r9(1120025286) -> $r9(1685467958) 
$r10(1120025286) -> $r10(1685467958) 
$r11(1120025286) -> $r11(1685467958) 
0(1685467958) -> 0(203182529) 
this(1685467958) -> this(203182529) 
l1(1685467958) -> l1(203182529) 
l2(1685467958) -> l2(203182529) 
counterFormat(1685467958) -> counterFormat(203182529) 
cntString(1685467958) -> cntString(203182529) 
sb(1685467958) -> sb(203182529) 
$r0(1685467958) -> $r0(203182529) 
$r1(1685467958) -> $r1(203182529) 
$r2(1685467958) -> $r2(203182529) 
$r3(1685467958) -> $r3(203182529) 
$r6(1685467958) -> $r6(203182529) 
$r7(1685467958) -> $r7(203182529) 
$r8(1685467958) -> $r8(203182529) 
$r9(1685467958) -> $r9(203182529) 
$r10(1685467958) -> $r10(203182529) 
$r11(1685467958) -> $r11(203182529) 
0(203182529) -> 0(389766173) 
this(203182529) -> this(389766173) 
l1(203182529) -> l1(389766173) 
l2(203182529) -> l2(389766173) 
counterFormat(203182529) -> counterFormat(389766173) 
cntString(203182529) -> cntString(389766173) 
sb(203182529) -> sb(389766173) 
$r0(203182529) -> $r0(389766173) 
$r1(203182529) -> $r1(389766173) 
$r2(203182529) -> $r2(389766173) 
$r3(203182529) -> $r3(389766173) 
$r6(203182529) -> $r6(389766173) 
$r7(203182529) -> $r7(389766173) 
$r8(203182529) -> $r8(389766173) 
$r9(203182529) -> $r9(389766173) 
$r10(203182529) -> $r10(389766173) 
$r11(203182529) -> $r11(389766173) 
0(389766173) -> 0(-715159776) 
this(389766173) -> this(-715159776) 
l1(389766173) -> l1(-715159776) 
l2(389766173) -> l2(-715159776) 
counterFormat(389766173) -> counterFormat(-715159776) 
cntString(389766173) -> cntString(-715159776) 
sb(389766173) -> sb(-715159776) 
$r0(389766173) -> $r0(-715159776) 
$r1(389766173) -> $r1(-715159776) 
$r2(389766173) -> $r2(-715159776) 
$r3(389766173) -> $r3(-715159776) 
$r6(389766173) -> $r6(-715159776) 
$r7(389766173) -> $r7(-715159776) 
$r8(389766173) -> $r8(-715159776) 
$r9(389766173) -> $r9(-715159776) 
$r10(389766173) -> $r10(-715159776) 
$r11(389766173) -> $r11(-715159776) 
0(389766173) -> .return(-715159776) 
