method: org.apache.fop.util.ColorSpaceCache.get:1583894035
$r8(1209074370) -> $r8(-1209074370) 
$r9(1209074370) -> $r9(-1209074370) 
0(-1209074370) -> 0(1422668676) 
this(-1209074370) -> this(1422668676) 
base(-1209074370) -> base(1422668676) 
iccProfileSrc(-1209074370) -> iccProfileSrc(1422668676) 
colorSpace(-1209074370) -> colorSpace(1422668676) 
$r0(-1209074370) -> $r0(1422668676) 
iccProfile(-1209074370) -> iccProfile(1422668676) 
src(-1209074370) -> src(1422668676) 
l4(-1209074370) -> l4(1422668676) 
$r1(-1209074370) -> $r1(1422668676) 
$r2(-1209074370) -> $r2(1422668676) 
$r3(-1209074370) -> $r3(1422668676) 
$r4(-1209074370) -> $r4(1422668676) 
$r5(-1209074370) -> $r5(1422668676) 
$r6(-1209074370) -> $r6(1422668676) 
$r7(-1209074370) -> $r7(1422668676) 
$r8(-1209074370) -> $r8(1422668676) 
$r9(-1209074370) -> $r9(1422668676) 
0(1422668676) -> 0(-1422668676) 
this(1422668676) -> this(-1422668676) 
base(1422668676) -> base(-1422668676) 
iccProfileSrc(1422668676) -> iccProfileSrc(-1422668676) 
colorSpace(1422668676) -> colorSpace(-1422668676) 
$r0(1422668676) -> $r0(-1422668676) 
iccProfile(1422668676) -> iccProfile(-1422668676) 
src(1422668676) -> src(-1422668676) 
l4(1422668676) -> l4(-1422668676) 
$r1(1422668676) -> $r1(-1422668676) 
$r2(1422668676) -> $r2(-1422668676) 
$r3(1422668676) -> $r3(-1422668676) 
$r4(1422668676) -> $r4(-1422668676) 
$r5(1422668676) -> $r5(-1422668676) 
$r6(1422668676) -> $r6(-1422668676) 
$r7(1422668676) -> $r7(-1422668676) 
$r9(1422668676) -> $r9(-1422668676) 
0(-1422668676) -> 0(1936185894) 
this(-1422668676) -> this(1936185894) 
base(-1422668676) -> base(1936185894) 
iccProfileSrc(-1422668676) -> iccProfileSrc(1936185894) 
colorSpace(-1422668676) -> colorSpace(1936185894) 
$r0(-1422668676) -> $r0(1936185894) 
iccProfile(-1422668676) -> iccProfile(1936185894) 
src(-1422668676) -> src(1936185894) 
l4(-1422668676) -> l4(1936185894) 
$r1(-1422668676) -> $r1(1936185894) 
$r2(-1422668676) -> $r2(1936185894) 
$r3(-1422668676) -> $r3(1936185894) 
$r4(-1422668676) -> $r4(1936185894) 
$r5(-1422668676) -> $r5(1936185894) 
$r6(-1422668676) -> $r6(1936185894) 
$r7(-1422668676) -> $r7(1936185894) 
$r8(-1422668676) -> $r8(1936185894) 
$r9(-1422668676) -> $r9(1936185894) 
0(1936185894) -> 0(1998789583) 
this(1936185894) -> this(1998789583) 
base(1936185894) -> base(1998789583) 
iccProfileSrc(1936185894) -> iccProfileSrc(1998789583) 
$r0(1936185894) -> $r0(1998789583) 
iccProfile(1936185894) -> iccProfile(1998789583) 
src(1936185894) -> src(1998789583) 
l4(1936185894) -> l4(1998789583) 
$r1(1936185894) -> $r1(1998789583) 
$r2(1936185894) -> $r2(1998789583) 
$r3(1936185894) -> $r3(1998789583) 
$r4(1936185894) -> $r4(1998789583) 
$r5(1936185894) -> $r5(1998789583) 
$r6(1936185894) -> $r6(1998789583) 
$r7(1936185894) -> $r7(1998789583) 
$r8(1936185894) -> colorSpace(1998789583) 
$r8(1936185894) -> $r8(1998789583) 
$r9(1936185894) -> $r9(1998789583) 
0(1998789583) -> 0(-1583894035) 
this(1998789583) -> this(-1583894035) 
base(1998789583) -> base(-1583894035) 
iccProfileSrc(1998789583) -> iccProfileSrc(-1583894035) 
colorSpace(1998789583) -> colorSpace(-1583894035) 
$r0(1998789583) -> $r0(-1583894035) 
iccProfile(1998789583) -> iccProfile(-1583894035) 
src(1998789583) -> src(-1583894035) 
l4(1998789583) -> l4(-1583894035) 
$r1(1998789583) -> $r1(-1583894035) 
$r2(1998789583) -> $r2(-1583894035) 
$r3(1998789583) -> $r3(-1583894035) 
$r4(1998789583) -> $r4(-1583894035) 
$r5(1998789583) -> $r5(-1583894035) 
$r6(1998789583) -> $r6(-1583894035) 
$r7(1998789583) -> $r7(-1583894035) 
$r8(1998789583) -> $r8(-1583894035) 
$r9(1998789583) -> $r9(-1583894035) 
colorSpace(1998789583) -> .return(-1583894035) 
