method: org.apache.fop.text.linebreak.LineBreakUtils.init_0:1365811000
2493298 -> 2493301
2493299 -> 2493302
2493300 -> 2493303
2493301 -> 2493304
2493302 -> 2493305
2493303 -> 2493306
2493304 -> 2493307
2493305 -> 2493308
2493306 -> 2493309
2493307 -> 2493310
2493308 -> 2493311
2493309 -> 2493312
2493310 -> 2493313
2493311 -> 2493314
2493312 -> 2493315
2493313 -> 2493316
2493314 -> 2493317
2493315 -> 2493318
2493317 -> 2493319
2493318 -> 2493320
2493321 -> 2493322
2493319 -> 2493323
2493320 -> 2493324
2493322 -> 2493325
2493323 -> 2493326
2493324 -> 2493327
2493325 -> 2493328
2493326 -> 2493329
2493327 -> 2493330
2493328 -> 2493331
2493329 -> 2493332
2493330 -> 2493333
2493331 -> 2493334
2493332 -> 2493335
2493333 -> 2493336
2493334 -> 2493337
2493335 -> 2493338
2493336 -> 2493339
2493337 -> 2493340
2493338 -> 2493341
2493339 -> 2493342
2493340 -> 2493343
2493341 -> 2493344
2493342 -> 2493345
2493343 -> 2493346
2493344 -> 2493347
2493345 -> 2493348
2493346 -> 2493349
2493347 -> 2493350
2493348 -> 2493351
2493349 -> 2493352
2493350 -> 2493353
2493351 -> 2493354
2493352 -> 2493355
2493353 -> 2493356
2493354 -> 2493357
2493355 -> 2493358
2493356 -> 2493359
2493357 -> 2493360
2493358 -> 2493361
2493359 -> 2493362
2493360 -> 2493363
2493361 -> 2493364
2493362 -> 2493365
2493363 -> 2493366
2493364 -> 2493367
2493365 -> 2493368
2493366 -> 2493369
2493367 -> 2493370
2493368 -> 2493371
2493369 -> 2493372
2493370 -> 2493373
2493371 -> 2493374
2493372 -> 2493375
2493373 -> 2493376
2493374 -> 2493377
2493375 -> 2493378
2493376 -> 2493379
2493377 -> 2493380
2493378 -> 2493381
2493379 -> 2493382
2493380 -> 2493383
2493381 -> 2493384
2493382 -> 2493385
2493383 -> 2493386
2493384 -> 2493387
2493385 -> 2493388
2493386 -> 2493389
2493387 -> 2493390
2493388 -> 2493391
