method: main.MainUI.createScriptInfoCom:251780582
$r0(1940732695) -> $r0(644052144) 
$r1(1940732695) -> $r1(644052144) 
$r2(1940732695) -> $r2(644052144) 
$r3(1940732695) -> $r3(644052144) 
$r4(1940732695) -> $r4(644052144) 
$r5(1940732695) -> $r5(644052144) 
$r6(1940732695) -> $r6(644052144) 
$r7(1940732695) -> $r7(644052144) 
0(644052144) -> 0(-644052144) 
this(644052144) -> this(-644052144) 
parent(644052144) -> parent(-644052144) 
itemtname(644052144) -> itemtname(-644052144) 
l6(644052144) -> l6(-644052144) 
com(644052144) -> com(-644052144) 
script(644052144) -> script(-644052144) 
scriptname(644052144) -> scriptname(-644052144) 
scrDisplayCom(644052144) -> scrDisplayCom(-644052144) 
$r0(644052144) -> $r0(-644052144) 
$r1(644052144) -> $r1(-644052144) 
$r2(644052144) -> $r2(-644052144) 
$r3(644052144) -> $r3(-644052144) 
$r4(644052144) -> $r4(-644052144) 
$r5(644052144) -> $r5(-644052144) 
$r6(644052144) -> $r6(-644052144) 
$r7(644052144) -> $r7(-644052144) 
0(-644052144) -> 0(1266803328) 
this(-644052144) -> this(1266803328) 
parent(-644052144) -> parent(1266803328) 
itemtname(-644052144) -> itemtname(1266803328) 
l6(-644052144) -> l6(1266803328) 
com(-644052144) -> com(1266803328) 
script(-644052144) -> script(1266803328) 
scriptname(-644052144) -> scriptname(1266803328) 
scrDisplayCom(-644052144) -> scrDisplayCom(1266803328) 
$r0(-644052144) -> $r0(1266803328) 
$r1(-644052144) -> $r1(1266803328) 
$r2(-644052144) -> $r2(1266803328) 
$r3(-644052144) -> $r3(1266803328) 
$r4(-644052144) -> $r4(1266803328) 
$r5(-644052144) -> $r5(1266803328) 
$r6(-644052144) -> $r6(1266803328) 
$r7(-644052144) -> $r7(1266803328) 
0(1266803328) -> 0(1268226930) 
this(1266803328) -> this(1268226930) 
parent(1266803328) -> parent(1268226930) 
itemtname(1266803328) -> itemtname(1268226930) 
l6(1266803328) -> l6(1268226930) 
com(1266803328) -> com(1268226930) 
script(1266803328) -> script(1268226930) 
scriptname(1266803328) -> scriptname(1268226930) 
scrDisplayCom(1266803328) -> scrDisplayCom(1268226930) 
$r0(1266803328) -> $r0(1268226930) 
$r1(1266803328) -> $r1(1268226930) 
$r2(1266803328) -> $r2(1268226930) 
$r3(1266803328) -> $r3(1268226930) 
$r4(1266803328) -> $r4(1268226930) 
$r5(1266803328) -> $r5(1268226930) 
$r6(1266803328) -> $r6(1268226930) 
$r7(1266803328) -> $r7(1268226930) 
0(1266803328) -> 0(1010657338) 
this(1266803328) -> this(1010657338) 
parent(1266803328) -> parent(1010657338) 
itemtname(1266803328) -> itemtname(1010657338) 
l6(1266803328) -> l6(1010657338) 
com(1266803328) -> com(1010657338) 
script(1266803328) -> script(1010657338) 
scriptname(1266803328) -> scriptname(1010657338) 
scrDisplayCom(1266803328) -> scrDisplayCom(1010657338) 
$r0(1266803328) -> $r0(1010657338) 
$r1(1266803328) -> $r1(1010657338) 
$r2(1266803328) -> $r2(1010657338) 
$r3(1266803328) -> $r3(1010657338) 
$r4(1266803328) -> $r4(1010657338) 
$r5(1266803328) -> $r5(1010657338) 
$r6(1266803328) -> $r6(1010657338) 
$r7(1266803328) -> $r7(1010657338) 
0(1010657338) -> 0(1669715643) 
this(1010657338) -> this(1669715643) 
parent(1010657338) -> parent(1669715643) 
itemtname(1010657338) -> itemtname(1669715643) 
l6(1010657338) -> l6(1669715643) 
com(1010657338) -> com(1669715643) 
script(1010657338) -> script(1669715643) 
scriptname(1010657338) -> scriptname(1669715643) 
scrDisplayCom(1010657338) -> scrDisplayCom(1669715643) 
$r0(1010657338) -> $r0(1669715643) 
$r1(1010657338) -> $r1(1669715643) 
$r2(1010657338) -> $r2(1669715643) 
$r3(1010657338) -> $r3(1669715643) 
$r4(1010657338) -> $r4(1669715643) 
$r5(1010657338) -> $r5(1669715643) 
$r6(1010657338) -> $r6(1669715643) 
$r7(1010657338) -> $r7(1669715643) 
0(1669715643) -> 0(-1669715643) 
this(1669715643) -> this(-1669715643) 
parent(1669715643) -> parent(-1669715643) 
itemtname(1669715643) -> itemtname(-1669715643) 
l6(1669715643) -> l6(-1669715643) 
com(1669715643) -> com(-1669715643) 
script(1669715643) -> script(-1669715643) 
scriptname(1669715643) -> scriptname(-1669715643) 
scrDisplayCom(1669715643) -> scrDisplayCom(-1669715643) 
$r0(1669715643) -> $r0(-1669715643) 
$r1(1669715643) -> $r1(-1669715643) 
$r3(1669715643) -> $r3(-1669715643) 
$r4(1669715643) -> $r4(-1669715643) 
$r5(1669715643) -> $r5(-1669715643) 
$r6(1669715643) -> $r6(-1669715643) 
$r7(1669715643) -> $r7(-1669715643) 
0(-1669715643) -> 0(1091489913) 
this(-1669715643) -> this(1091489913) 
parent(-1669715643) -> parent(1091489913) 
itemtname(-1669715643) -> itemtname(1091489913) 
l6(-1669715643) -> l6(1091489913) 
com(-1669715643) -> com(1091489913) 
script(-1669715643) -> script(1091489913) 
scriptname(-1669715643) -> scriptname(1091489913) 
scrDisplayCom(-1669715643) -> scrDisplayCom(1091489913) 
$r0(-1669715643) -> $r0(1091489913) 
$r1(-1669715643) -> $r1(1091489913) 
